step,dynamic_goal_no_human,dynamic_goal_human_nearby,final_goal_no_human
91,0.0158659854,0.0483436585,0.1385274383
92,0.0135925989,0.0399383221,0.1419972638
93,0.016646507,0.030900184,0.144215157
94,0.0162077036,0.0239410058,0.1456401885
95,0.0203478734,0.0187158412,0.1466803116
96,0.0230060124,0.0148796938,0.147439968
97,0.0266007685,0.0113428162,0.1471310267
98,0.027625269,0.0087073193,0.1446251434
99,0.0281221747,0.0081391555,0.1405056653
100,0.0290407643,0.0101846335,0.1353580188
101,0.0265763508,0.0126908188,0.1300004662
102,0.0286356084,0.0128357759,0.1244726696
103,0.027107745,0.0137651953,0.1181484086
104,0.0288710706,0.0135467663,0.1119085646
105,0.0276125626,0.0141437761,0.1053134304
106,0.0296180335,0.0130236951,0.0985658856
107,0.0296041086,0.0129040169,0.0915847284
108,0.0311159679,0.011932568,0.0846566723
109,0.0313728278,0.0121799771,0.0764437958
110,0.0288738152,0.0081226946,0.0693248601
111,0.0291341676,0.0053296783,0.0633550297
112,0.0281057222,0.0058770559,0.0581068678
113,0.0263369528,0.0050475064,0.0536101286
114,0.0156494419,0.0051452454,0.050170676
115,0.0097638841,0.0039299829,0.0473000518
116,0.0107405991,0.0041484145,0.0437618396
117,0.0154530772,0.0153871194,0.0404882737
118,0.0193339699,0.0162315636,0.0364330896
119,0.0235895615,0.0117170496,0.0364330896
120,0.0226567257,0.0105507731,0.0364330896
121,0.0240547381,0.0130027597,0.0364330896
122,0.0254419542,0.0119616769,0.0364330896
123,0.0245378057,0.0133761426,0.0364330896
124,0.0253582402,0.0150447971,0.0364330896
125,0.0253071931,0.018734334,0.0364330896
126,0.0240315114,0.019897459,0.0364330896
127,0.0224399342,0.0212642713,0.0364330896
128,0.0219435354,0.0229921767,0.0364330896
129,0.0228580218,0.025262358,0.0364330896
130,0.0250993794,0.0274120925,0.0364330896
131,0.0250993794,0.0286221666,0.0364330896
